Date,Open,High,Low,Close,Adj_Close,Volume
2022-02-17,1196.75,1201.199951171875,1193.6300048828125,1196.75,1196.75,0
2022-02-18,1197.8499755859375,1198.93994140625,1191.989990234375,1198.6600341796875,1198.6600341796875,0
2022-02-21,1198.199951171875,1198.300048828125,1189.1500244140625,1195.0699462890625,1195.0699462890625,0
2022-02-22,1193.75,1195.9599609375,1190.6500244140625,1194.6800537109375,1194.6800537109375,0
2022-02-23,1191.9100341796875,1193.8299560546875,1188.949951171875,1192.6800537109375,1192.6800537109375,0
2022-02-24,1191.530029296875,1210.97998046875,1191.530029296875,1192.4000244140625,1192.4000244140625,0
2022-02-25,1206.0,1206.0,1197.3900146484375,1206.0,1206.0,0
2022-02-28,1205.4000244140625,1208.72998046875,1199.0,1197.5899658203125,1197.5899658203125,0
2022-03-01,1200.9300537109375,1204.7099609375,1196.6500244140625,1200.9300537109375,1200.9300537109375,0
2022-03-02,1204.4000244140625,1208.7099609375,1201.469970703125,1205.3699951171875,1205.3699951171875,0
2022-03-03,1202.300048828125,1208.7099609375,1201.5699462890625,1203.1500244140625,1203.1500244140625,0
2022-03-04,1205.989990234375,1219.780029296875,1205.989990234375,1205.989990234375,1205.989990234375,0
2022-03-07,1222.800048828125,1233.06005859375,1222.1800537109375,1216.7099609375,1216.7099609375,0
2022-03-08,1232.300048828125,1238.7900390625,1230.3399658203125,1232.300048828125,1232.300048828125,0
2022-03-09,1233.0999755859375,1235.52001953125,1222.8599853515625,1233.1099853515625,1233.1099853515625,0
2022-03-10,1221.280029296875,1231.1099853515625,1221.280029296875,1223.22998046875,1223.22998046875,0
2023-10-01,1351.93994140625,1358.699951171875,1343.4200439453125,1351.93994140625,1351.93994140625,0
2023-10-02,1354.18994140625,1364.7099609375,1349.93994140625,1354.18994140625,1354.18994140625,0
2023-10-03,1359.219970703125,1363.6700439453125,1349.4300537109375,1359.219970703125,1359.219970703125,0
2023-10-04,1351.1600341796875,1353.3499755859375,1345.1500244140625,1351.1600341796875,1351.1600341796875,0
2023-10-05,1346.06005859375,1356.81005859375,1338.989990234375,1346.06005859375,1346.06005859375,0
2023-10-08,1343.3599853515625,1354.43994140625,1343.3599853515625,1343.3599853515625,1343.3599853515625,0
2023-10-09,1346.8900146484375,1351.68994140625,1341.93994140625,1346.8900146484375,1346.8900146484375,0
2023-10-10,1341.8900146484375,1342.300048828125,1336.5400390625,1341.8900146484375,1341.8900146484375,0
2023-10-11,1338.260009765625,1347.6500244140625,1333.06005859375,1338.260009765625,1338.260009765625,0
2023-10-12,1348.3399658203125,1353.18994140625,1345.81005859375,1348.3399658203125,1348.3399658203125,0
2023-10-15,1352.0699462890625,1356.219970703125,1348.8199462890625,1352.0699462890625,1352.0699462890625,0
2023-10-16,1347.760009765625,1357.3800048828125,1347.1600341796875,1347.760009765625,1347.760009765625,0
2023-10-17,1352.989990234375,1357.8199462890625,1346.8900146484375,1352.989990234375,1352.989990234375,0
2023-10-18,1354.56005859375,1360.1099853515625,1354.3599853515625,1354.56005859375,1354.56005859375,0
2023-10-19,1356.22998046875,1359.1099853515625,1348.449951171875,1356.22998046875,1356.22998046875,0
2024-04-07,1350.27001953125,1356.77001953125,1350.27001953125,1350.27001953125,1350.27001953125,0
2024-04-08,1354.219970703125,1356.52001953125,1350.22998046875,1354.219970703125,1354.219970703125,0
2024-04-09,1348.5400390625,1364.4599609375,1326.9300537109375,1348.5400390625,1348.5400390625,0
2024-04-10,1363.760009765625,1370.8299560546875,1357.8800048828125,1363.760009765625,1363.760009765625,0
2024-04-11,1367.8399658203125,1385.8900146484375,1366.9599609375,1367.8399658203125,1367.8399658203125,0
2024-04-14,1379.6099853515625,1389.010009765625,1379.5999755859375,1379.6099853515625,1379.6099853515625,0
2024-04-15,1387.6700439453125,1399.9599609375,1387.1500244140625,1387.6700439453125,1387.6700439453125,0
2024-04-16,1387.3399658203125,1390.7900390625,1378.3299560546875,1387.3399658203125,1387.3399658203125,0
2024-04-17,1379.5400390625,1381.3499755859375,1370.3599853515625,1379.5400390625,1379.5400390625,0
2024-04-18,1379.4000244140625,1392.6199951171875,1374.5699462890625,1379.4000244140625,1379.4000244140625,0
2024-04-21,1373.9300537109375,1382.9300537109375,1373.4100341796875,1373.9300537109375,1373.9300537109375,0
2024-04-22,1378.8399658203125,1379.6099853515625,1371.2099609375,1378.8399658203125,1378.8399658203125,0
2024-04-23,1370.47998046875,1377.4300537109375,1366.7900390625,1370.47998046875,1370.47998046875,0
2024-04-24,1376.969970703125,1379.0899658203125,1370.56005859375,1376.969970703125,1376.969970703125,0
2024-04-25,1371.699951171875,1378.6500244140625,1370.3399658203125,1371.699951171875,1371.699951171875,0
