Date,USDKRW,WTI,DXY
2015-07-17,1148.48,50.88,108.5374
2015-07-20,1156.38,50.11,108.6944
2015-07-21,1148.33,50.59,108.3893
2015-07-22,1156.49,49.27,108.7817
2015-07-23,1160.64,48.11,108.7565
2015-07-24,1169.02,47.98,109.0174
2015-07-27,1167.75,47.17,108.6924
2015-07-28,1161.09,47.97,108.6881
2015-07-29,1158.49,48.77,108.604
2015-07-30,1173.42,48.53,109.4328
2015-07-31,1159.7,47.11,108.7819
2015-08-03,1168.63,45.25,109.214
2015-08-04,1161.2,45.75,109.2244
2015-08-05,1174.4,45.13,109.842
2015-08-06,1163.25,44.69,109.722
2015-08-07,1164.0,43.87,109.4376
2015-08-10,1161.69,44.94,109.1931
2015-08-11,1181.36,43.11,109.9464
2015-08-12,1175.03,43.22,109.4655
2015-08-13,1176.02,42.27,109.9025
2015-08-14,1177.62,42.45,109.9174
2015-08-17,1181.53,41.93,110.1435
2015-08-18,1185.85,42.58,110.2504
2015-08-19,1184.35,40.75,110.4333
2015-08-20,1185.63,41.0,110.1077
2015-08-21,1194.6,40.45,110.1443
2015-08-24,1191.13,38.22,109.9306
2015-08-25,1195.25,39.15,110.3394
2015-08-26,1185.52,38.5,110.5807
2015-08-27,1170.49,42.47,110.4834
2015-08-28,1180.93,45.29,110.6714
2015-08-31,1182.54,49.2,110.5621
2015-09-01,1179.78,45.38,110.4506
2015-09-02,1183.46,46.3,110.7979
2015-09-03,1188.07,46.75,110.8566
2015-09-04,1196.4,46.02,111.1018
2015-09-08,1195.57,45.92,110.7942
2015-09-09,1186.52,44.13,110.9225
2015-09-10,1184.87,45.85,110.6331
2015-09-11,1182.25,44.75,110.6109
2015-09-14,1181.17,44.07,110.5005
2015-09-15,1178.69,44.58,110.6394
2015-09-16,1169.77,47.12,110.1021
2015-09-17,1163.11,46.93,110.1212
2015-09-18,1164.13,44.71,109.8165
2015-09-21,1179.24,46.67,110.6414
2015-09-22,1186.1,46.17,111.1967
2015-09-23,1193.96,44.53,111.6287
2015-09-24,1195.48,44.94,111.4454
2015-09-25,1190.14,45.55,111.3725
2015-09-28,1193.32,44.4,111.3914
2015-09-29,1194.28,45.24,111.5219
2015-09-30,1184.62,45.06,111.3311
2015-10-01,1180.04,44.75,111.0439
2015-10-02,1175.48,45.54,110.7006
2015-10-05,1158.54,46.28,110.4445
2015-10-06,1160.7,48.53,110.1371
2015-10-07,1153.72,47.86,109.8162
2015-10-08,1155.57,49.46,109.6452
2015-10-09,1145.67,49.67,109.0782
2015-10-13,1147.42,46.7,109.4119
2015-10-14,1140.39,46.63,109.1244
2015-10-15,1120.9,46.38,108.6671
2015-10-16,1130.73,47.3,108.9956
2015-10-19,1130.57,45.91,109.3858
2015-10-20,1128.64,45.84,109.3368
2015-10-21,1137.09,45.22,109.7746
2015-10-22,1131.48,44.9,110.0342
2015-10-23,1135.0,43.91,110.4329
2015-10-26,1127.47,43.19,110.2089
2015-10-27,1134.57,43.21,110.4875
2015-10-28,1130.31,45.93,110.2334
2015-10-29,1142.39,46.02,110.8083
2015-10-30,1140.5,46.6,110.2079
2015-11-02,1140.5,46.12,110.2188
2015-11-03,1140.5,47.88,110.244
2015-11-04,1136.45,46.32,110.7139
2015-11-05,1140.5,45.27,110.8302
2015-11-06,1140.5,44.32,111.7603
2015-11-09,1160.42,43.87,111.9112
2015-11-10,1158.34,44.23,111.9919
2015-11-12,1158.6,41.74,111.7965
